Column1,Column2,Column3
[Data],Dia,
,Power,
,BC,
[Ortho],Target,
,FlatK,
,Ecc,
,RCPlus (Flat),
,AC1Plus (Flat),
,AC2Plus (Flat),
,PCR (Flat),
,AC2AddRadius,
,FKplusDK,
,AC1PlusSt,
,AC2PlusSt,
[Thickness],CenterThickness,
,EdgeThickness,
[BACK],B BlendFactor,
,EdgeR,
,,
,BCR1,
,BOZ,
,BAsp1,
,BJR1,
,,
,BCR2,
,BCW2,
,BAsp2,
,BJR2,
,,
,BCR3,
,BCW3,
,BAsp3,
,BJR3,
,,
,BCR4,
,BCW4,
,BAsp4,
,BJR4,
,,
,BCR5,
,BCW5,
,BAsp5,
,BJR5,
,,
,BCR6,
,BCW6,
,BAsp6,
,BJR6,
,,
,BCR7,
[FRONT],F BlendFactor,
,FOZ,
,FAsp1,
,FJR1,
,,
,FCW2,
,IZT,
,FJR2,
